,0
204," Corsica (-99 / 204)
center: [ 9.10491713 42.16186541]"
205," France (FRA / 205)
center: [ 2.45276214 46.6201147 ]"
206," Mayotte (MYT / 206)
center: [ 45.13452704 -12.82457027]"
207," Réunion (REU / 207)
center: [ 55.54127542 -21.11794666]"
208," Martinique (MTQ / 208)
center: [-61.02100536  14.65803013]"
209," Guadeloupe (GLP / 209)
center: [-61.6746313   16.16557217]"
210," French Guiana (GUF / 210)
center: [-53.24844369   3.92595292]"
211," Saint Pierre and Miquelon (SPM / 211)
center: [-56.32695226  46.94614016]"
212," Wallis and Futuna (WLF / 212)
center: [-178.12955393  -14.28573552]"
213," Saint Martin (MAF / 213)
center: [-63.05972851  18.08888611]"
214," Saint Barthélemy (BLM / 214)
center: [-62.84067779  17.89880451]"
215," French Polynesia (PYF / 215)
center: [-149.42024636  -17.66331046]"
216," New Caledonia (NCL / 216)
center: [165.4866976  -21.32517143]"
217," French Southern and Antarctic Lands (ATF / 217)
center: [ 69.49547044 -49.3042295 ]"
218," Åland (ALA / 218)
center: [19.94400982 60.23133494]"
219," Finland (FIN / 219)
center: [26.28354804 64.50497064]"
220," Fiji (FJI / 220)
center: [177.97282711 -17.82292078]"
221," Ethiopia (ETH / 221)
center: [39.60080098  8.62278679]"
222," Estonia (EST / 222)
center: [25.832165   58.68592077]"
223," Eritrea (ERI / 223)
center: [38.83795856 15.35950669]"
224," Bioko (-99 / 224)
center: [8.69936563 3.49061756]"
225," Río Muni (-99 / 225)
center: [10.47048259  1.56520049]"
226," El Salvador (SLV / 226)
center: [-88.87164469  13.73943744]"
227," Egypt (EGY / 227)
center: [29.86190099 26.49593311]"
228," Ecuador (-99 / 228)
center: [-78.38975666  -1.44537129]"
229," Galápagos Province (-99 / 229)
center: [-91.18679236  -0.56202797]"
230," Dominican Republic (DOM / 230)
center: [-70.50568896  18.89433082]"
231," Dominica (DMA / 231)
center: [-61.357726   15.4394702]"
232," Djibouti (DJI / 232)
center: [42.5606754  11.74871806]"
233," Greenland (GRL / 233)
center: [-41.35581221  74.71759825]"
234," Faroe Islands (FRO / 234)
center: [-6.8847479  62.17017602]"
